Code,State,County,Lung Cancer Mortality,Radon,Obesity,Age Over 65,Currently Smoke,Ever Smoke,Median HH Income,Mort Rank,Radon Rank
1001,AL,Autauga_County,97.0293,1.5,31.3,10.2,26.4,48.6,56.58,2523,1113.5
13103,GA,Effingham_County,94.4043,0.5,31.1,8.0,26.6,49.65,63.26,2409,270.5
13217,GA,Newton_County,91.8648,1.3,32.1,9.9,27.4,49.95,51.18,2281,974.5
13225,GA,Peach_County,93.6161,1.6,30.1,9.8,27.5,47.55,41.73,2366,1184.0
21077,KY,Gallatin_County,141.4099,0.6,30.9,10.3,27.9,54.6,47.68,2878,364.5
21151,KY,Madison_County,92.1712,2.1,30.3,9.8,27.6,48.95,46.34,2291,1465.5
21209,KY,Scott_County,103.4171,5.5,32.2,8.9,26.8,49.15,63.78,2703,2441.5
22005,LA,Ascension_Parish,95.4469,0.4,30.8,7.7,28.8,48.05,74.85,2454,186.0
22063,LA,Livingston_Parish,102.831,0.5,29.6,8.5,28.6,51.6,58.77,2685,270.5
22121,LA,West_Baton_Rouge_Parish,91.0048,0.6,31.6,9.7,26.4,47.45,55.07,2245,364.5
26067,MI,Ionia_County,77.9436,1.7,30.9,10.1,28.4,51.35,51.01,1350,1245.5
26073,MI,Isabella_County,77.1981,2.1,30.0,9.1,27.0,48.95,41.96,1309,1465.5
26087,MI,Lapeer_County,74.8147,2.7,31.7,9.5,27.2,55.4,57.77,1154,1728.5
28033,MS,DeSoto_County,100.7984,1.2,31.9,8.9,26.7,46.95,60.61,2641,896.5
29027,MO,Callaway_County,82.704,2.1,31.1,11.0,27.0,52.5,50.51,1698,1465.5
29113,MO,Lincoln_County,89.6844,1.3,30.7,10.8,27.4,53.75,54.58,2159,974.5
30035,MT,Glacier_County,94.365,2.3,30.8,9.2,26.8,51.3,31.67,2404,1562.0
37085,NC,Harnett_County,89.8321,0.6,31.4,10.4,28.4,48.2,48.3,2172,364.5
37133,NC,Onslow_County,101.992,0.9,30.6,6.3,27.9,49.75,46.14,2668,628.0
39049,OH,Franklin_County,97.0895,7.4,30.5,9.7,26.5,47.85,53.94,2526,2639.0
39129,OH,Pickaway_County,88.9791,4.5,30.7,10.8,27.6,51.75,58.47,2105,2255.5
40145,OK,Wagoner_County,85.7927,0.8,30.1,10.2,27.4,50.1,57.95,1896,542.5
47147,TN,Robertson_County,92.1847,1.2,31.2,10.8,26.8,52.25,53.41,2292,896.5
55078,WI,Menominee_County,62.6585,4.5,31.1,8.5,27.2,43.15,33.41,535,2255.5
4001,AZ,Apache_County,23.6025,1.4,31.5,8.2,35.9,48.95,31.07,5,1045.0
13183,GA,Long_County,96.8097,1.1,30.0,5.8,32.3,52.55,42.54,2507,811.5
13213,GA,Murray_County,110.1939,1.1,28.5,8.0,33.6,50.95,43.14,2813,811.5
21029,KY,Bullitt_County,108.2682,11.5,31.9,7.9,32.5,57.95,54.76,2796,2821.0
21051,KY,Clay_County,107.9511,4.4,31.9,10.3,32.3,49.4,24.0,2788,2236.0
21081,KY,Grant_County,112.8014,0.7,32.4,9.6,31.9,56.75,45.31,2830,460.5
21215,KY,Spencer_County,91.8285,0.5,31.6,9.1,32.4,58.35,68.15,2279,270.5
12003,FL,Baker_County,108.6811,0.4,30.3,9.3,29.8,51.95,50.88,2803,186.0
13003,GA,Atkinson_County,93.1756,1.0,29.3,9.2,30.9,45.65,32.4,2347,719.5
13035,GA,Butts_County,93.1347,2.0,29.8,10.2,31.5,54.95,44.17,2343,1410.5
13049,GA,Charlton_County,98.3349,0.4,29.5,9.7,32.2,53.75,37.04,2564,186.0
13069,GA,Coffee_County,83.7238,0.8,29.6,9.8,31.7,48.5,34.78,1761,542.5
13079,GA,Crawford_County,75.6919,1.4,29.5,9.2,29.8,53.2,43.56,1228,1045.0
13173,GA,Lanier_County,96.9887,0.6,29.7,10.7,31.3,51.1,37.62,2517,364.5
13209,GA,Montgomery_County,94.4134,0.8,30.2,10.6,29.8,48.45,36.82,2410,542.5
29099,MO,Jefferson_County,106.7199,2.8,30.4,9.1,32.5,57.55,58.75,2768,1771.0
39009,OH,Athens_County,93.6094,1.9,31.1,9.3,29.9,51.1,38.4,2365,1352.0
4017,AZ,Navajo_County,49.2663,1.6,27.7,10.1,27.4,45.2,37.66,162,1184.0
5143,AR,Washington_County,82.2301,1.6,27.1,9.9,27.2,47.25,46.42,1659,1184.0
6035,CA,Lassen_County,73.4797,1.1,28.2,9.0,26.2,52.35,54.67,1063,811.5
12019,FL,Clay_County,102.8475,0.3,27.2,9.8,26.3,49.3,59.24,2687,106.0
12031,FL,Duval_County,100.0701,0.3,26.9,10.5,26.7,48.4,49.57,2618,106.0
13011,GA,Banks_County,72.7293,1.7,27.8,10.5,29.3,51.45,44.15,1007,1245.5
13013,GA,Barrow_County,87.8567,1.9,28.7,9.1,28.4,50.05,53.79,2033,1352.0
13015,GA,Bartow_County,97.4186,1.6,28.5,9.4,26.9,48.05,50.9,2538,1184.0
13085,GA,Dawson_County,78.0638,1.5,26.7,9.4,28.0,53.65,60.2,1356,1113.5
13129,GA,Gordon_County,97.1115,0.7,28.7,10.6,30.5,51.3,44.58,2527,460.5
13149,GA,Heard_County,89.7112,0.1,27.8,11.0,29.1,50.45,41.51,2161,19.0
13157,GA,Jackson_County,90.7109,2.5,26.9,10.4,27.0,47.9,56.1,2230,1639.5
13195,GA,Madison_County,85.0769,3.5,29.0,10.9,27.0,50.0,40.74,1847,2018.5
